,precision,recall,f1-score,support
accuracy,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666
macro avg,0.23577235772357724,0.24404761904761907,0.22605633802816905,48.0
weighted avg,0.42970867208672087,0.5416666666666666,0.46930751173708923,48.0
1-C,0.0,0.0,0.0,9.0
2-SC,0.3333333333333333,0.14285714285714285,0.2,7.0
3-A,0.6097560975609756,0.8333333333333334,0.7042253521126761,30.0
4-S,0.0,0.0,0.0,2.0
