,precision,recall,f1-score,support
accuracy,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666
macro avg,0.16477272727272727,0.2265625,0.1907894736842105,48.0
weighted avg,0.4393939393939394,0.6041666666666666,0.5087719298245613,48.0
1-C,0.0,0.0,0.0,5.0
2-SC,0.0,0.0,0.0,7.0
3-A,0.6590909090909091,0.90625,0.763157894736842,32.0
4-S,0.0,0.0,0.0,4.0
