,0,1,2,3
4495566,0.07723664,0.02099949,0.57344997,0.32831392
46521003,0.015366929,0.5201327,0.35319874,0.11130162
1681968,0.045042504,0.036009647,0.8747983,0.04414957
4380689,0.032343216,0.013485131,0.8493286,0.10484308
3506848,0.0057322094,0.04375003,0.9228279,0.02768986
46527981,0.022303503,0.042554755,0.8855658,0.049575936
473627329449,0.17784363,0.5247945,0.14227855,0.1550833
3633616,0.46180138,0.04468935,0.3525898,0.1409195
3664268,0.092961766,0.013535747,0.8469889,0.04651354
3459379,0.059142057,0.027391197,0.86690205,0.046564657
3812956,0.0008943936,0.0026468674,0.9942731,0.002185618
3629313,0.024476906,0.1921083,0.10265657,0.68075824
3764234,0.0065849815,0.556606,0.38188958,0.05491945
3764247,0.009112999,0.31456953,0.44311357,0.23320392
46565153,0.03564096,0.44285813,0.14570823,0.37579274
4517806,0.005852108,0.01013966,0.9805813,0.0034269248
3816754,0.017737372,0.019760463,0.927071,0.03543117
3457074,0.020737378,0.018141897,0.939438,0.02168271
3299476,0.012327969,0.5006332,0.25672767,0.23031117
47034467,0.4941727,0.02594004,0.42679492,0.05309238
3690186,0.0072188233,0.19839564,0.62492305,0.16946247
4410022,0.081664875,0.32454,0.44384822,0.14994693
4518542,0.07657657,0.016014807,0.8794191,0.027989555
473627746005,0.06534048,0.008428972,0.8438193,0.08241119
47225430,0.012231757,0.009675087,0.9673076,0.010785484
3563073,0.0019732055,0.0054882006,0.9910005,0.0015380586
3489529,0.028321058,0.10766784,0.80138224,0.06262886
473627341172,0.0031910334,0.0009908377,0.9883208,0.007497389
3581894,0.011065808,0.034868885,0.9089414,0.045123905
3330416,0.010824522,0.15578951,0.82305205,0.010333949
3814805,0.10166449,0.033882167,0.7464013,0.11805201
3740713,0.090644844,0.010028366,0.8573386,0.04198823
3448110,0.0052905655,0.14141354,0.8471321,0.006163831
3285004,0.004854148,0.15177514,0.82995677,0.01341394
3285026,0.0016410403,0.054865595,0.9392717,0.0042217188
3485107,0.017601872,0.2764238,0.6857491,0.020225182
3591459,0.034020666,0.049520437,0.5634079,0.35305098
3549345,0.14159521,0.21808667,0.5132121,0.127106
3970533,0.006544381,0.05070028,0.91877776,0.02397759
47264755,0.02185266,0.009860104,0.9430856,0.025201654
46944829,0.023184009,0.06551001,0.74606556,0.16524047
3374653,0.10817183,0.04669364,0.6198183,0.2253163
4518365,0.04352714,0.116832815,0.79477286,0.044867188
3924086,0.02970366,0.0042734914,0.88621116,0.07981168
47079361,0.0010699999,0.002026286,0.9938949,0.0030088755
3621698,0.007156998,0.00046739838,0.979983,0.012392705
3497568,0.6262734,0.046480536,0.19128044,0.13596565
3589217,0.0040842174,0.021686308,0.7756835,0.19854592
