,precision,recall,f1-score,support
accuracy,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666
macro avg,0.3833333333333333,0.30793650793650795,0.3134057971014493,48.0
weighted avg,0.5708333333333333,0.6041666666666666,0.5578200483091788,48.0
1-C,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
2-SC,0.2,0.14285714285714285,0.16666666666666666,7.0
3-A,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0
4-S,0.0,0.0,0.0,2.0
