Variable,Chi2,p_value,FDR
Cuatom_Status,1.4570696846300384,0.9179701568531935,0.9179701568531935
Condition,10.396044263820235,0.7941161243599668,0.8933806399049627
Custom_Sex,5.511314185985921,0.3567068343063467,0.6873796557545987
Diseaseseverity,24.221153432340305,0.5066262149447975,0.7599393224171963
Custom_Hypertension,2.711333687550802,0.7443844619282752,0.8933806399049627
Custom_Dyslipidemia,11.81119141470369,0.2978915315555774,0.6873796557545987
Custom_Active smoker,5.48328755073054,0.35978194210147196,0.6873796557545987
Custom_Ever smoker,5.286911444151941,0.3818775865303326,0.6873796557545987
Custom_DM,11.953002179350863,0.28821420965870853,0.6873796557545987
