Variable,Chi2,p_value,FDR
Cuatom_Status,4.823708738047496,0.43777183839717937,0.7583573010890159
Condition,12.437145070933441,0.6456845310734436,0.7583573010890159
Custom_Sex,4.997612060202976,0.416171684386885,0.7583573010890159
Diseaseseverity,20.260049552166592,0.7330545074281309,0.7583573010890159
Custom_Hypertension,4.3490626948695095,0.5003286037421629,0.7583573010890159
Custom_Dyslipidemia,9.355361900067104,0.49874294628480775,0.7583573010890159
Custom_Active smoker,11.245264431672297,0.04672821848356057,0.4205539663520451
Custom_Ever smoker,2.6197825743598564,0.7583573010890159,0.7583573010890159
Custom_DM,6.987180822068681,0.726654605846045,0.7583573010890159
